Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NASDAQ,ADMA,ADMA Biologics Inc - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADP,"Automatic Data Processing, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADSEW,ADS-TEC ENERGY PLC - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADSK,"Autodesk, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADTN,"ADTRAN Holdings, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADUR,Aduro Clean Technologies Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADUS,Addus HomeCare Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADV,Advantage Solutions Inc. - Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADVB,Advanced Biomed Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADXN,Addex Therapeutics Ltd - American Depositary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEAQU,Activate Energy Acquisition Corp. - Unit,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEAQW,Activate Energy Acquisition Corp. - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEBI,Aebi Schmidt Holding AG - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEC,Anfield Energy Inc. - Common Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEHR,Aehr Test Systems - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEI,Alset Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEMD,"Aethlon Medical, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AENT,Alliance Entertainment Holding Corporation - common stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AENTW,Alliance Entertainment Holding Corporation - Warrants,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEP,"American Electric Power Company, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AERTW,"Aeries Technology, Inc. - Warrant",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AESPR,Aeon Acquisition I Corp. - Rights,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AESPU,Aeon Acquisition I Corp. - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AESPW,Aeon Acquisition I Corp. - Warrants,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEVA,"Aeva Technologies, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AEYE,"AudioEye, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFBI,"Affinity Bancshares, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFCG,Advanced Flower Capital Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFJKR,"Aimei Health Technology Co., Ltd - Right",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFJKU,"Aimei Health Technology Co., Ltd - Unit",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFOS,ARS Focused Opportunity Strategy ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AFRI,Forafric Global PLC - Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFRIW,Forafric Global PLC - Warrants,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AFSC,abrdn Focused U.S. Small Cap Active ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AFYA,Afya Limited - Class A Common Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGEM,abrdn Emerging Markets Dividend Active ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AGEN,Agenus Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGGA,EA Astoria Dynamic Core US Fixed Income ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGIX,KraneShares Public-Private AI & Technology ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGMI,Themes Silver Miners ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AGNC,AGNC Investment Corp. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
