Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,ECF$A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),Stock,,nasdaq_trader_symbol_directory
AMEX,EGG,Enigmatig Limited Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,EIM,"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",Stock,,nasdaq_trader_symbol_directory
AMEX,ELA,Envela Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),Stock,,nasdaq_trader_symbol_directory
AMEX,ELMD,"Electromed, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,EONR,EON Resources Inc. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,EONR.W,"EON Resources Inc. Warrants, each whole warrant exercisable for three quarters of one share of Class A Common Stock at an exercise price of $11.50 per whole share",Stock,,nasdaq_trader_symbol_directory
AMEX,EP,Empire Petroleum Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,EPM,"Evolution Petroleum Corporation, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,EQX,Equinox Gold Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,ERC,Allspring Multi-Sector Income Fund Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,ERH,Allspring Utilities and High Income Fund Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,ESP,Espey Mfg. & Electronics Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,EVI,"EVI Industries, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
AMEX,EXOD,"Exodus Movement, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,FAX,"abrdn Asia-Pacific Income Fund, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,FJET,"Starfighters Space, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,FLYX,"flyExclusive, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,FLYX.W,"flyExclusive, Inc. Redeemable warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50 per share",Stock,,nasdaq_trader_symbol_directory
