Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,RYDE,Ryde Group Ltd. Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,SACH,Sachem Capital Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,SACH$A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,SBEV,"Splash Beverage Group, Inc. (NV) Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,SBMT,Silver Bow Mining Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,SCCD,Sachem Capital Corp. 6.00% Notes due 2026,Stock,,nasdaq_trader_symbol_directory
AMEX,SCCE,Sachem Capital Corp. 6.00% Notes due 2027,Stock,,nasdaq_trader_symbol_directory
AMEX,SCCF,Sachem Capital Corp. 7.125% Notes due 2027,Stock,,nasdaq_trader_symbol_directory
AMEX,SCCG,Sachem Capital Corp. 8.00% Notes due 2027,Stock,,nasdaq_trader_symbol_directory
AMEX,SDEV,Stablecoin Development Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,SEB,Seaboard Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
