Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NYSE,ANET,"Arista Networks, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ANF,Abercrombie & Fitch Company Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ANG$D,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D",Stock,,nasdaq_trader_symbol_directory
NYSE,ANGX,"Angel Studios, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ANRO,"Alto Neuroscience, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ANVS,"Annovis Bio, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
NYSE,AOMD,"Angel Oak Mortgage REIT, Inc. 9.750% Senior Notes due 2030",Stock,,nasdaq_trader_symbol_directory
NYSE,AOMN,"Angel Oak Mortgage REIT, Inc. 9.500% Senior Notes due 2029",Stock,,nasdaq_trader_symbol_directory
NYSE,AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AON,Aon plc Class A Ordinary Shares (Ireland),Stock,,nasdaq_trader_symbol_directory
NYSE,AORT,"Artivion, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AOS,A.O. Smith Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AP,Ampco-Pittsburgh Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,APD,"Air Products and Chemicals, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,APG,APi Group Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,APH,Amphenol Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,APLE,"Apple Hospitality REIT, Inc. Common Shares",Stock,,nasdaq_trader_symbol_directory
NYSE,APO,"Apollo Global Management, Inc. (New) Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,APO$A,"Apollo Global Management, Inc. 6.75% Series A Mandatory Convertible Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,APOS,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",Stock,,nasdaq_trader_symbol_directory
NYSE,APTV,Aptiv PLC Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AQN,Algonquin Power & Utilities Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AQNB,"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",Stock,,nasdaq_trader_symbol_directory
NYSE,AR,Antero Resources Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ARCO,Arcos Dorados Holdings Inc. Class A Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",Stock,,nasdaq_trader_symbol_directory
NYSE,ARDT,"Ardent Health, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ARES,Ares Management Corporation Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ARES$B,Ares Management Corporation 6.75% Series B Mandatory Convertible Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ARI,"Apollo Commercial Real Estate Finance, Inc",Stock,,nasdaq_trader_symbol_directory
NYSE,ARIS,Aris Mining Corporation Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,ARL,"American Realty Investors, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ARLO,"Arlo Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ARMK,Aramark Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AROC,"Archrock, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ARR,"ARMOUR Residential REIT, Inc.",Stock,,nasdaq_trader_symbol_directory
NYSE,ARR$C,"ARMOUR Residential REIT, Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share)",Stock,,nasdaq_trader_symbol_directory
NYSE,ARW,"Arrow Electronics, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ARX,Accelerant Holdings Class A Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AS,"Amer Sports, Inc. Ordinary Shares",Stock,,nasdaq_trader_symbol_directory
NYSE,ASA,ASA Gold and Precious Metals Limited,Stock,,nasdaq_trader_symbol_directory
NYSE,ASAN,"Asana, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ASB,Associated Banc-Corp Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ASB$E,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series E",Stock,,nasdaq_trader_symbol_directory
NYSE,ASB$F,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock, Series F",Stock,,nasdaq_trader_symbol_directory
NYSE,ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,Stock,,nasdaq_trader_symbol_directory
NYSE,ASC,Ardmore Shipping Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ASG,"Liberty All-Star Growth Fund, Inc.",Stock,,nasdaq_trader_symbol_directory
NYSE,ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
NYSE,ASH,Ashland Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ASIC,Ategrity Specialty Insurance Company Holdings Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ASIX,AdvanSix Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ASPN,"Aspen Aerogels, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares)",Stock,,nasdaq_trader_symbol_directory
NYSE,ATEN,"A10 Networks, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ATH$A,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share, Series A",Stock,,nasdaq_trader_symbol_directory
NYSE,ATH$B,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share, Series B, par value $1.00 per share",Stock,,nasdaq_trader_symbol_directory
NYSE,ATH$D,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share, Series D",Stock,,nasdaq_trader_symbol_directory
NYSE,ATH$E,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share, Series E",Stock,,nasdaq_trader_symbol_directory
NYSE,ATHM,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",Stock,,nasdaq_trader_symbol_directory
NYSE,ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,Stock,,nasdaq_trader_symbol_directory
NYSE,ATI,ATI Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ATKR,Atkore Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ATMU,Atmus Filtration Technologies Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ATO,Atmos Energy Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ATR,"AptarGroup, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ATS,ATS Corporation Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AU,AngloGold Ashanti PLC Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AUB,Atlantic Union Bankshares Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AUB$A,"Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock, Series A",Stock,,nasdaq_trader_symbol_directory
NYSE,AUNA,Auna SA Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AVA,Avista Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),Stock,,nasdaq_trader_symbol_directory
NYSE,AVB,"AvalonBay Communities, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AVBC,"Avidia Bancorp, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
